codigo;nombre
Px-346;MEDICION TIEMPOS DE FRAGUADO HORMIGONES PLANTA PEÑALOLEN CEMENTO MELON PREMIX – CLIENTE SIGRO
Px-347;CONTRASTACION PRENSA PROYECTO CAMINO LA POLVORA v/s LABORATORIO ESPEJO
Px-348;HORMIGON HB250(90)13/F RESISTENCIA A 36 HORAS
Px-349;PRODUCTO TENSOCRET RESISTENCIAS A HORAS (VAPOR) HN45.0(90)20/08
Px-350;HORMIGONES CON DIFERENTES DOSIS DE ADITIVOS:VZ-020, CM-1, P-121, ADIPLAST-21, PREMIX-2, PREMIX-3, HE-911, HE-912. ARIDOS SANTA LAURA.
Px-351;HORMIGON FLUIDO – COMPARACION ADITIVOS SUPERPLASTIFICANTES SUPERCIZER-7, ADIPLAST 905, R-1000, EP-2300, R-3000FC
Px-352;HORMIGONES PLANTA CASTRO – ARIDOS EICHELER Y NEIR – CEMENTO MELON EXTRA
Px-353;COMPARACION DE DISTINTOS ARIDOS REGION METROPOLITANA : ARI-2, SANTA LAURA, SOMINCA y MEGARIDOS BUIN
Px-354;MORTERO PARA HORMIGON CELULAR (USO DISTINTAS ARENAS)
Px-355;HORMIGONES CON GRAVILLA ARI-2 TAMAÑO MAXIMO 13mm RODADA Y CHANCADA
Px-356;HORMIGONES RESISTENCIA CILINDRICA DE 350 kgf/cm2  A EDAD DE 7 DIAS
Px-357;EFECTO DEL CONTENIDO DE LAJA EN LA RESISTENCIA MECANICA DEL HORMIGON
Px-358;HORMIGON CELULAR LIVIANO APLICACIÓN REGION METROPOLITANA Y QUINTA  REGION
Px-359;MORTERO PEGAMIXCERAMICO CON DISTINTAS ARENAS 0-3mm ARI-2 RODADA , BUIN-2 INDUSTRIAL, PROARIDOS MAIPO
Px-360;HORMIGONES CON AIRE INCORPORADO
Px-361;HORMIGONES FLUIDOS – MANTENCION DE CONO – ADITIVOS R3000FC, R-1000, EP-2300, ADIPLAST 905 , SOLO CON AGUA 
Px-362;INVESTIGACION EFECTO FLY – ASH  (CENTRAL TARAPACA)  - PLANTA IQUIQUE
Px-363;HORMIGON FLUIDO PARA PILOTES SIN ADITIVO SUPERPLASTIFICANTE (RUTA SANTIAGO TALCA) v/s USO DE EP-2300 – MANTENCION DE CONO
Px-364;HORMIGONES PARA HELICOPTERO – FERIA DEL HORMIGON – TIEMPOS DE FRAGUADO
Px-365;HORMIGONES DE PRUEBA PLANTA ANTOFAGASTA (H. DREYER v/s SAN JORGE)
Px-366;HORMIGONES PARA MAQUINA DE CUNETAS IN SITU – USO DE FLY ASH
Px-367;HORMIGONES CON DISTINTOS ADITIVOS REDUCTORES: VZ-020, P-121, DARATARD-25,  ADIPLAST-23, PREMIX-2, PREMIX-3, CHEMCON R y CHEMCON N
Px-368;HORMIGONES CON CEMENTO FONDU LAFARGE
Px-369;HORMIGONES CON ARENAS BUIN-1 Y ROMERAL (80-20) v/s STA. LAURA y STA. LAURA CON ROMERAL
Px-370;EFECTO DE DISTINTAS DOSIS DE ADITIVOS CM-1, P-121 Y VZ-020 EN LA DEMANDA DE AGUA DEL HORMIGON
Px-371;HORMIGON DE PRUEBA CEMENTO BLANCO TAILANDES - HB22.5(85)20-12BL
Px-372;HORMIGON COLOR CONSTRUCTORA RENE CARVAJAL – HC25.0(90)20-10
Px-373;HORMIGON PARA  MAQUINA DE CUNETAS  ( CONFECCIONADO EN OSORNO)
Px-374;HORMIGONES CON ADICION DE COMPENSADOR DE RETRACCION  - ESTABILMAC (ENSAYO REALIZADO EN DICTUC)
Px-375;HORMIGON ALTA RESISTENCIA TIPO HN55.0(95)20/05 PARA PRETESA , USO MICROSILICA
Px-376;HORMIGONES PARA PROYECTO COLLAHUASI.
Px-377;HORMIGON DE PRUEBA FT2.5(80)40-06-01 PLANTA PEÑALOLEN
Px-378;HORMIGON COLOREADO CON CEMENTO BLANCO NARE Y TIEMPO DE VIAJE 2 HORAS.
Px-379;HORMIGON DE PRUEBA ARIDOS FE – GRANDE PLANTA  LA  SERENA.
Px-380;HORMIGONES PARA MAQUINA DE CUNETAS IN SITU – USO FLY ASH Y MEZCLA PUZOLANA, CENIZA Y POLVO ROCA PRESEC
Px-381;COMPARACION ADITIVOS SUPERPLASTIFICANTES: EP-2300, R-1000, ADIPLAST-905, ADIPLAST-101, ADIPLAST-108H, POWERMIX-100, POWERMIX-50 y SLUMPMIX-C
Px-382;HORMIGONES CON RESISTENCIA AL DESGASTE – PLANTA VIÑA DEL MAR – USO MICROSILCA GRACE – ARIDOS MEGARIDOS CONCON
Px-383;HORMIGONES A FLEXOTRACCION A EDAD TEMPRANA (12 Y 24 HRS)
Px-384;HORMIGONES CON FLY ASH  PRESEC – ARIDOS SANTA LAURA – CEMENTO MELON PREMIX
Px-385;SENSIBILIDAD DOSIS ARENA CHANCADA MEGA CONCON v/s ARENA RUBIA RODADA PEDRO GUZMAN.
Px-386;CONTRASTACION PRENSAS LABORATORIOS: PREMIX STGO, PREMIX SN. ANTONIO, CESMEC, MARSS
Px-387;HORMIGONES POBRES CON FLY  ASH – ALTERNATIVA A SUELO CEMENTO.
Px-388;HORMIGONES PLANTA QUILICURA – COMPARACION GRAVAS  SANTA GLORIA v/s BUIN-4
Px-389;HORMIGONES CON RESISTENCIA A EDAD TEMPRANA Y TIEMPO DE VIAJE 2 HORAS – USO ADITIVOS VZ-020 v/s RECOVER  - CEMENTO MELON EXTRA
Px-390;ADITIVOS ALTERNATIVOS AL VZ-020 : R-200, RECOVER, DARATARD-25, DARATARD-PX,  WRDA-PX (dosis mayorada) , P111R, P323R, P-121 , CM1  y  RETARDANTE (GRACE)– CEMENTO MELON PREMIX Y EXTRA
Px-391;HORMIGON HN30(95)40/10 A FLEXOTRACCION –CLIENTE LTS – CEMENTO MELON EXTRA
Px-392;HORMIGONES PROYECTO LAJA DIGUILLIN – ARENA CURANADU ARIDO GRUESO EL BOLDAL –  CONFECCION  EN U. CONCEPCION
